,tokens,ner_tags
393,for,O
394,she,O
395,had,O
396,plenty,O
397,of,O
398,time,O
399,as,O
400,she,O
401,went,O
402,down,O
403,to,O
404,look,O
405,about,O
406,her,O
407,and,O
408,to,O
409,wonder,O
410,what,O
411,was,O
412,going,O
413,to,O
414,happen,O
415,next,O
416,.,O
417,first,O
418,",",O
419,she,O
420,tried,O
421,to,O
422,look,O
423,down,O
424,and,O
425,make,O
426,out,O
427,what,O
428,she,O
429,was,O
430,coming,O
431,to,O
432,",",O
433,but,O
434,it,O
435,was,O
436,too,O
437,dark,O
438,to,O
439,see,O
440,anything,O
441,;,O
442,then,O
443,she,O
444,looked,O
445,at,O
446,the,O
447,sides,O
448,of,O
449,the,O
450,well,O
451,",",O
452,and,O
453,noticed,O
454,that,O
455,they,O
456,were,O
457,filled,O
458,with,O
459,cupboard,O
460,##s,O
461,and,O
462,book,O
463,-,O
464,shelves,O
465,;,O
466,here,O
467,and,O
468,there,O
469,she,O
470,saw,O
471,maps,O
472,and,O
473,pictures,O
474,hung,O
475,upon,O
476,peg,O
477,##s,O
478,.,O
479,she,O
480,took,O
481,down,O
482,a,O
483,jar,O
484,from,O
485,one,O
486,of,O
487,the,O
488,shelves,O
489,as,O
490,she,O
491,passed,O
492,;,O
493,it,O
494,was,O
495,labelled,O
496,‘,O
497,orange,O
498,mar,O
499,##mal,O
500,##ade,O
501,’,O
502,",",O
503,but,O
504,to,O
505,her,O
506,great,O
507,disappointment,O
508,it,O
509,was,O
510,empty,O
511,:,O
512,she,O
513,did,O
514,not,O
515,like,O
516,to,O
517,drop,O
518,the,O
519,jar,O
520,for,O
521,fear,O
522,of,O
523,killing,O
524,somebody,O
525,",",O
526,so,O
527,managed,O
528,to,O
529,put,O
530,it,O
531,into,O
532,one,O
533,of,O
534,the,O
535,cupboard,O
536,##s,O
537,as,O
538,she,O
539,fell,O
540,past,O
541,it,O
542,.,O
543,[SEP],O
544,[CLS],O
545,‘,O
546,well,O
547,!,O
548,’,O
549,thought,O
550,alice,B-PER
551,to,O
552,herself,O
553,",",O
554,‘,O
555,after,O
556,such,O
557,a,O
558,fall,O
559,as,O
560,this,O
561,",",O
562,i,O
563,shall,O
564,think,O
565,nothing,O
566,of,O
567,tumbling,O
568,down,O
569,stairs,O
570,!,O
571,how,O
572,brave,O
573,they,O
574,’,O
575,ll,O
576,all,O
577,think,O
578,me,O
579,at,O
580,home,O
581,!,O
582,why,O
583,",",O
584,i,O
585,wouldn,O
586,’,O
587,t,O
588,say,O
589,anything,O
590,about,O
591,it,O
592,",",O
593,even,O
594,if,O
595,i,O
596,fell,O
597,off,O
598,the,O
599,top,O
600,of,O
601,the,O
602,house,O
603,!,O
604,’,O
605,(,O
606,which,O
607,was,O
608,very,O
609,likely,O
610,true,O
611,.,O
612,),O
613,[SEP],O
614,[CLS],O
615,down,O
616,",",O
617,down,O
618,",",O
619,down,O
620,.,O
621,would,O
622,the,O
623,fall,O
624,never,O
625,come,O
626,to,O
627,an,O
628,end,O
629,!,O
630,‘,O
631,i,O
632,wonder,O
633,how,O
634,many,O
635,miles,O
636,i,O
637,’,O
638,ve,O
639,fallen,O
640,by,O
641,this,O
642,time,O
643,?,O
644,’,O
645,she,O
646,said,O
647,aloud,O
648,.,O
649,‘,O
650,i,O
651,must,O
652,be,O
653,getting,O
654,somewhere,O
655,near,O
656,the,O
657,centre,O
658,of,O
659,the,O
660,earth,O
661,.,O
662,let,O
663,me,O
664,see,O
665,:,O
666,that,O
667,would,O
668,be,O
669,four,O
670,thousand,O
671,miles,O
672,down,O
673,",",O
674,i,O
675,think,O
676,-,O
677,-,O
678,’,O
679,(,O
680,for,O
681,",",O
682,you,O
683,see,O
684,",",O
685,alice,B-PER
686,had,O
687,learnt,O
688,several,O
689,things,O
690,of,O
691,this,O
692,sort,O
693,in,O
694,her,O
695,lessons,O
696,in,O
697,the,O
698,school,O
699,##room,O
700,",",O
701,and,O
702,though,O
703,this,O
704,was,O
705,not,O
706,a,O
707,very,O
708,good,O
709,opportunity,O
710,for,O
711,showing,O
712,off,O
713,her,O
714,knowledge,O
715,",",O
716,as,O
717,there,O
718,was,O
719,no,O
720,one,O
721,to,O
722,listen,O
723,to,O
724,her,O
725,",",O
726,still,O
727,it,O
728,was,O
729,good,O
730,practice,O
731,to,O
732,say,O
733,it,O
734,over,O
735,),O
736,‘,O
737,-,O
738,-,O
739,yes,O
740,",",O
741,that,O
742,’,O
743,s,O
744,about,O
745,the,O
746,right,O
747,distance,O
748,-,O
749,-,O
750,but,O
751,then,O
752,i,O
753,wonder,O
754,what,O
755,latitude,O
756,or,O
757,longitude,B-MISC
758,i,O
759,’,O
760,ve,O
761,got,O
762,to,O
763,?,O
764,’,O
765,(,O
766,alice,B-PER
767,had,O
768,no,O
769,idea,O
770,what,O
771,latitude,B-MISC
772,was,O
773,",",O
774,or,O
775,longitude,O
776,either,O
777,",",O
778,but,O
779,thought,O
780,they,O
781,were,O
782,nice,O
783,grand,O
784,words,O
785,to,O
786,say,O
787,.,O
788,),O
789,[SEP],O
790,[CLS],O
791,presently,O
792,she,O
793,began,O
794,again,O
795,.,O
796,‘,O
797,i,O
798,wonder,O
799,if,O
800,i,O
801,shall,O
802,fall,O
803,right,O
804,through,O
805,the,O
806,earth,O
807,!,O
808,how,O
809,funny,O
810,it,O
811,’,O
812,ll,O
813,seem,O
814,to,O
815,come,O
816,out,O
817,among,O
818,the,O
819,people,O
820,that,O
821,walk,O
822,with,O
823,their,O
824,heads,O
825,downward,O
826,!,O
827,the,O
828,anti,O
829,##path,O
830,##ies,O
831,",",O
832,i,O
833,think,O
834,-,O
835,-,O
836,’,O
837,(,O
838,she,O
839,was,O
840,rather,O
841,glad,O
842,there,O
843,was,O
844,no,O
845,one,O
846,listening,O
847,",",O
848,this,O
849,time,O
850,",",O
851,as,O
852,it,O
853,didn,O
854,’,O
855,t,O
856,sound,O
857,at,O
858,all,O
859,the,O
860,right,O
861,word,O
862,),O
863,‘,O
864,-,O
865,-,O
866,but,O
867,i,O
868,shall,O
869,have,O
870,to,O
871,ask,O
872,them,O
873,what,O
874,the,O
875,name,O
876,of,O
877,the,O
878,country,O
879,is,O
880,",",O
881,you,O
882,know,O
883,.,O
884,please,O
885,",",O
886,ma,O
887,’,O
888,am,O
889,",",O
890,is,O
891,this,O
892,new,B-LOC
893,zealand,I-LOC
894,or,O
895,australia,B-LOC
896,?,O
897,’,O
898,(,O
899,and,O
900,she,O
901,tried,O
902,to,O
903,curt,O
904,##sey,O
905,as,O
906,she,O
907,spoke,O
908,-,O
909,-,O
910,fancy,O
911,curt,O
912,##sey,O
913,##ing,O
914,as,O
915,you,O
916,’,O
917,re,O
918,falling,O
919,through,O
920,the,O
921,air,O
922,!,O
923,do,O
924,you,O
925,think,O
926,you,O
927,could,O
928,manage,O
929,it,O
930,?,O
931,),O
932,‘,O
933,and,O
934,what,O
935,an,O
936,ignorant,O
937,little,O
938,girl,O
939,she,O
940,’,O
941,ll,O
942,think,O
943,me,O
944,for,O
945,asking,O
946,!,O
947,no,O
948,",",O
949,it,O
950,’,O
951,ll,O
952,never,O
953,do,O
954,to,O
955,ask,O
956,:,O
957,perhaps,O
958,i,O
959,shall,O
960,see,O
961,it,O
962,written,O
963,up,O
964,somewhere,O
965,.,O
966,’,O
967,[SEP],O
968,[CLS],O
969,down,O
970,",",O
971,down,O
972,",",O
973,down,O
974,.,O
975,there,O
976,was,O
977,nothing,O
978,else,O
979,to,O
980,do,O
981,",",O
982,so,O
983,alice,B-PER
984,soon,O
985,began,O
986,talking,O
987,again,O
988,.,O
989,‘,O
990,dinah,B-PER
991,’,O
992,ll,O
993,miss,O
994,me,O
995,very,O
996,much,O
997,to,O
998,-,O
999,night,O
1000,",",O
1001,i,O
1002,should,O
1003,think,O
1004,!,O
1005,’,O
1006,(,O
1007,dinah,B-PER
1008,was,O
1009,the,O
1010,cat,O
1011,.,O
1012,),O
1013,‘,O
1014,i,O
1015,hope,O
1016,they,O
1017,’,O
1018,ll,O
1019,remember,O
1020,her,O
1021,sauce,O
1022,##r,O
1023,of,O
1024,milk,O
1025,at,O
1026,tea,O
1027,-,O
1028,time,O
1029,.,O
1030,dinah,B-PER
1031,my,O
1032,dear,O
1033,!,O
1034,i,O
1035,wish,O
1036,you,O
1037,were,O
1038,down,O
1039,here,O
1040,with,O
1041,me,O
1042,!,O
1043,there,O
1044,are,O
1045,no,O
1046,mice,O
1047,in,O
1048,the,O
1049,air,O
1050,",",O
1051,i,O
1052,’,O
1053,m,O
1054,afraid,O
1055,",",O
1056,but,O
1057,you,O
1058,might,O
1059,catch,O
1060,a,O
1061,bat,O
1062,",",O
1063,and,O
1064,that,O
1065,’,O
1066,s,O
1067,very,O
1068,like,O
1069,a,O
1070,mouse,O
1071,",",O
1072,you,O
1073,know,O
1074,.,O
1075,but,O
1076,do,O
1077,cats,O
1078,eat,O
1079,bats,O
1080,",",O
1081,i,O
1082,wonder,O
1083,?,O
1084,’,O
1085,and,O
1086,here,O
1087,alice,B-PER
1088,began,O
1089,to,O
1090,get,O
1091,rather,O
1092,sleepy,O
1093,",",O
1094,and,O
1095,went,O
1096,on,O
1097,saying,O
1098,to,O
1099,herself,O
1100,",",O
1101,in,O
1102,a,O
1103,dream,O
1104,##y,O
1105,sort,O
1106,of,O
1107,way,O
1108,",",O
1109,‘,O
1110,do,O
1111,cats,O
1112,eat,O
1113,bats,O
1114,?,O
1115,do,O
1116,cats,O
1117,eat,O
1118,bats,O
1119,?,O
1120,’,O
1121,and,O
1122,sometimes,O
1123,",",O
1124,‘,O
1125,do,O
1126,bats,O
1127,eat,O
1128,cats,O
1129,?,O
1130,’,O
1131,for,O
1132,",",O
1133,you,O
1134,see,O
1135,",",O
1136,as,O
1137,she,O
1138,couldn,O
1139,’,O
1140,t,O
1141,answer,O
1142,either,O
1143,question,O
1144,",",O
1145,it,O
1146,didn,O
1147,’,O
1148,t,O
1149,much,O
1150,matter,O
1151,which,O
1152,way,O
1153,she,O
1154,put,O
1155,it,O
1156,.,O
1157,she,O
1158,felt,O
1159,that,O
1160,she,O
1161,was,O
1162,do,O
1163,##zing,O
1164,off,O
1165,",",O
1166,and,O
1167,had,O
1168,just,O
1169,begun,O
1170,to,O
1171,dream,O
1172,that,O
1173,she,O
1174,was,O
1175,walking,O
1176,hand,O
1177,in,O
1178,hand,O
1179,with,O
1180,dinah,B-PER
1181,",",O
1182,and,O
1183,saying,O
1184,to,O
1185,her,O
1186,very,O
1187,earnest,O
1188,##ly,O
1189,",",O
1190,‘,O
1191,now,O
1192,",",O
1193,dinah,B-PER
1194,",",O
1195,tell,O
1196,me,O
1197,the,O
1198,truth,O
1199,:,O
1200,did,O
1201,you,O
1202,ever,O
1203,eat,O
1204,a,O
1205,bat,O
1206,?,O
1207,’,O
1208,when,O
1209,suddenly,O
1210,",",O
1211,thump,O
1212,!,O
1213,thump,O
1214,!,O
1215,down,O
1216,she,O
1217,came,O
1218,upon,O
1219,a,O
1220,heap,O
1221,of,O
1222,sticks,O
1223,and,O
1224,dry,O
1225,leaves,O
1226,",",O
1227,and,O
1228,the,O
1229,fall,O
1230,was,O
1231,over,O
1232,.,O
1233,[SEP],O
1234,[CLS],O
1235,alice,B-PER
1236,was,O
1237,not,O
1238,a,O
1239,bit,O
1240,hurt,O
1241,",",O
1242,and,O
1243,she,O
1244,jumped,O
1245,up,O
1246,on,O
1247,to,O
1248,her,O
1249,feet,O
1250,in,O
1251,a,O
1252,moment,O
1253,:,O
1254,she,O
1255,looked,O
1256,up,O
1257,",",O
1258,but,O
1259,it,O
1260,was,O
1261,all,O
1262,dark,O
1263,overhead,O
1264,;,O
1265,before,O
1266,her,O
1267,was,O
1268,another,O
1269,long,O
1270,passage,O
1271,",",O
1272,and,O
1273,the,O
1274,white,B-MISC
1275,rabbit,O
1276,was,O
1277,still,O
1278,in,O
1279,sight,O
1280,",",O
1281,hurrying,O
1282,down,O
1283,it,O
1284,.,O
1285,there,O
1286,was,O
1287,not,O
1288,a,O
1289,moment,O
1290,to,O
1291,be,O
1292,lost,O
1293,:,O
1294,away,O
1295,went,O
1296,alice,B-PER
1297,like,O
1298,the,O
1299,wind,O
1300,",",O
1301,and,O
1302,was,O
1303,just,O
1304,in,O
1305,time,O
1306,to,O
1307,hear,O
1308,it,O
1309,say,O
1310,",",O
1311,as,O
1312,it,O
1313,turned,O
1314,a,O
1315,corner,O
1316,",",O
1317,‘,O
1318,oh,O
1319,my,O
1320,ears,O
1321,and,O
1322,w,O
1323,##his,O
1324,##kers,O
1325,",",O
1326,how,O
1327,late,O
1328,it,O
1329,’,O
1330,s,O
1331,getting,O
1332,!,O
1333,’,O
1334,she,O
1335,was,O
1336,close,O
1337,behind,O
1338,it,O
1339,when,O
1340,she,O
1341,turned,O
1342,the,O
1343,corner,O
1344,",",O
1345,but,O
1346,the,O
1347,rabbit,O
1348,was,O
1349,no,O
1350,longer,O
1351,to,O
1352,be,O
1353,seen,O
1354,:,O
1355,she,O
1356,found,O
1357,herself,O
1358,in,O
1359,a,O
1360,long,O
1361,",",O
1362,low,O
1363,hall,O
1364,",",O
1365,which,O
1366,was,O
1367,lit,O
1368,up,O
1369,by,O
1370,a,O
1371,row,O
1372,of,O
1373,lamps,O
1374,hanging,O
1375,from,O
1376,the,O
1377,roof,O
1378,.,O
1379,[SEP],O
1380,[CLS],O
1381,there,O
1382,were,O
1383,doors,O
1384,all,O
1385,round,O
1386,the,O
1387,hall,O
1388,",",O
1389,but,O
1390,they,O
1391,were,O
1392,all,O
1393,locked,O
1394,;,O
1395,and,O
1396,when,O
1397,alice,B-PER
1398,had,O
1399,been,O
1400,all,O
1401,the,O
1402,way,O
1403,down,O
1404,one,O
1405,side,O
1406,and,O
1407,up,O
1408,the,O
1409,other,O
1410,",",O
1411,trying,O
1412,every,O
1413,door,O
1414,",",O
1415,she,O
1416,walked,O
1417,sadly,O
1418,down,O
1419,the,O
1420,middle,O
1421,",",O
1422,wondering,O
1423,how,O
1424,she,O
1425,was,O
1426,ever,O
1427,to,O
1428,get,O
1429,out,O
1430,again,O
1431,.,O
1432,[SEP],O
1433,[CLS],O
1434,suddenly,O
1435,she,O
1436,came,O
1437,upon,O
1438,a,O
1439,little,O
1440,three,O
1441,-,O
1442,legged,O
1443,table,O
1444,",",O
1445,all,O
1446,made,O
1447,of,O
1448,solid,O
1449,glass,O
1450,;,O
1451,there,O
1452,was,O
1453,nothing,O
1454,on,O
1455,it,O
1456,except,O
1457,a,O
1458,tiny,O
1459,golden,O
1460,key,O
1461,",",O
1462,and,O
1463,alice,B-PER
1464,’,O
1465,s,O
1466,first,O
1467,thought,O
1468,was,O
1469,that,O
1470,it,O
1471,might,O
1472,belong,O
1473,to,O
1474,one,O
1475,of,O
1476,the,O
1477,doors,O
1478,of,O
1479,the,O
1480,hall,O
1481,;,O
1482,but,O
1483,",",O
1484,ala,O
1485,##s,O
1486,!,O
1487,either,O
1488,the,O
1489,locks,O
1490,were,O
1491,too,O
1492,large,O
1493,",",O
1494,or,O
1495,the,O
1496,key,O
1497,was,O
1498,too,O
1499,small,O
1500,",",O
1501,but,O
1502,at,O
1503,any,O
1504,rate,O
1505,it,O
1506,would,O
1507,not,O
1508,open,O
1509,any,O
1510,of,O
1511,them,O
1512,.,O
1513,however,O
1514,",",O
1515,on,O
1516,the,O
1517,second,O
1518,time,O
1519,round,O
1520,",",O
1521,she,O
1522,came,O
1523,upon,O
1524,a,O
1525,low,O
1526,curtain,O
1527,she,O
1528,had,O
1529,not,O
1530,noticed,O
1531,before,O
1532,",",O
1533,and,O
1534,behind,O
1535,it,O
1536,was,O
1537,a,O
1538,little,O
1539,door,O
1540,about,O
1541,fifteen,O
1542,inches,O
1543,high,O
1544,:,O
1545,she,O
1546,tried,O
1547,the,O
1548,little,O
1549,golden,O
1550,key,O
1551,in,O
1552,the,O
1553,lock,O
1554,",",O
1555,and,O
1556,to,O
1557,her,O
1558,great,O
1559,delight,O
1560,it,O
1561,fitted,O
1562,!,O
1563,[SEP],O
1564,[CLS],O
1565,alice,B-PER
1566,opened,O
1567,the,O
1568,door,O
1569,and,O
1570,found,O
1571,that,O
1572,it,O
1573,led,O
1574,into,O
1575,a,O
1576,small,O
1577,passage,O
1578,",",O
1579,not,O
1580,much,O
1581,larger,O
1582,than,O
1583,a,O
1584,rat,O
1585,-,O
1586,hole,O
1587,:,O
1588,she,O
1589,knelt,O
1590,down,O
1591,and,O
1592,looked,O
1593,along,O
1594,the,O
1595,passage,O
1596,into,O
1597,the,O
1598,love,O
1599,##liest,O
1600,garden,O
1601,you,O
1602,ever,O
1603,saw,O
1604,.,O
1605,how,O
1606,she,O
1607,longed,O
1608,to,O
1609,get,O
1610,out,O
1611,of,O
1612,that,O
1613,dark,O
1614,hall,O
1615,",",O
1616,and,O
1617,wander,O
1618,about,O
1619,among,O
1620,those,O
1621,beds,O
1622,of,O
1623,bright,O
1624,flowers,O
1625,and,O
1626,those,O
1627,cool,O
1628,fountains,O
1629,",",O
1630,but,O
1631,she,O
1632,could,O
1633,not,O
1634,even,O
1635,get,O
1636,her,O
1637,head,O
1638,through,O
1639,the,O
1640,doorway,O
1641,;,O
1642,‘,O
1643,and,O
1644,even,O
1645,if,O
1646,my,O
1647,head,O
1648,would,O
1649,go,O
1650,through,O
1651,",",O
1652,’,O
1653,thought,O
1654,poor,O
1655,alice,B-PER
1656,",",O
1657,‘,O
1658,it,O
1659,would,O
1660,be,O
1661,of,O
1662,very,O
1663,little,O
1664,use,O
1665,without,O
1666,my,O
1667,shoulders,O
1668,.,O
1669,oh,O
1670,",",O
1671,how,O
1672,i,O
1673,wish,O
1674,i,O
1675,could,O
1676,shut,O
1677,up,O
1678,like,O
1679,a,O
1680,telescope,O
1681,!,O
1682,i,O
1683,think,O
1684,i,O
1685,could,O
1686,",",O
1687,if,O
1688,i,O
1689,only,O
1690,knew,O
1691,how,O
1692,to,O
1693,begin,O
1694,.,O
1695,’,O
1696,for,O
1697,",",O
1698,you,O
1699,see,O
1700,",",O
1701,so,O
1702,many,O
1703,out,O
1704,-,O
1705,of,O
1706,-,O
1707,the,O
1708,-,O
1709,way,O
1710,things,O
1711,had,O
1712,happened,O
1713,lately,O
1714,",",O
1715,that,O
1716,alice,B-PER
1717,had,O
1718,begun,O
1719,to,O
1720,think,O
1721,that,O
1722,very,O
1723,few,O
1724,things,O
1725,indeed,O
1726,were,O
1727,really,O
1728,impossible,O
1729,.,O
1730,[SEP],O
1731,[CLS],O
1732,there,O
1733,seemed,O
1734,to,O
1735,be,O
1736,no,O
1737,use,O
1738,in,O
1739,waiting,O
1740,by,O
1741,the,O
1742,little,O
1743,door,O
1744,",",O
1745,so,O
1746,she,O
1747,went,O
1748,back,O
1749,to,O
1750,the,O
1751,table,O
1752,",",O
1753,half,O
1754,hoping,O
1755,she,O
1756,might,O
1757,find,O
1758,another,O
1759,key,O
1760,on,O
1761,it,O
1762,",",O
1763,or,O
1764,at,O
1765,any,O
1766,rate,O
1767,a,O
1768,book,O
1769,of,O
1770,rules,O
1771,for,O
1772,shutting,O
1773,people,O
1774,up,O
1775,like,O
1776,telescopes,O
1777,:,O
1778,this,O
1779,time,O
1780,she,O
1781,found,O
1782,a,O
1783,little,O
1784,bottle,O
1785,on,O
1786,it,O
1787,",",O
1788,[,O
1789,‘,O
1790,which,O
1791,certainly,O
1792,was,O
1793,not,O
1794,here,O
1795,before,O
1796,",",O
1797,’,O
1798,said,O
1799,alice,B-PER
1800,",",O
1801,),O
1802,and,O
1803,round,O
1804,the,O
1805,neck,O
1806,of,O
1807,the,O
1808,bottle,O
1809,was,O
1810,a,O
1811,paper,O
1812,label,O
1813,",",O
1814,with,O
1815,the,O
1816,words,O
1817,‘,O
1818,drink,B-MISC
1819,me,O
1820,’,O
1821,beautifully,O
1822,printed,O
1823,on,O
1824,it,O
1825,in,O
1826,large,O
1827,letters,O
1828,.,O
1829,[SEP],O
1830,[CLS],O
1831,it,O
1832,was,O
1833,all,O
1834,very,O
1835,well,O
1836,to,O
1837,say,O
1838,‘,O
1839,drink,O
1840,me,O
1841,",",O
1842,’,O
1843,but,O
1844,the,O
1845,wise,O
1846,little,O
1847,alice,B-PER
1848,was,O
1849,not,O
1850,going,O
1851,to,O
1852,do,O
1853,that,O
1854,in,O
1855,a,O
1856,hurry,O
1857,.,O
1858,‘,O
1859,no,O
1860,",",O
1861,i,O
1862,’,O
1863,ll,O
1864,look,O
1865,first,O
1866,",",O
1867,’,O
1868,she,O
1869,said,O
1870,",",O
1871,‘,O
1872,and,O
1873,see,O
1874,whether,O
1875,it,O
1876,’,O
1877,s,O
1878,marked,O
1879,“,O
1880,poison,O
1881,”,O
1882,or,O
1883,not,O
1884,’,O
1885,;,O
1886,for,O
1887,she,O
1888,had,O
1889,read,O
1890,several,O
1891,nice,O
1892,little,O
1893,histories,O
1894,about,O
1895,children,O
1896,who,O
1897,had,O
1898,got,O
1899,burnt,O
1900,",",O
1901,and,O
1902,eaten,O
1903,up,O
1904,by,O
1905,wild,O
1906,beasts,O
1907,and,O
1908,other,O
1909,unpleasant,O
1910,things,O
1911,",",O
1912,all,O
1913,because,O
1914,they,O
1915,would,O
1916,not,O
1917,remember,O
1918,the,O
1919,simple,O
1920,rules,O
1921,their,O
1922,friends,O
1923,had,O
1924,taught,O
1925,them,O
1926,:,O
1927,such,O
1928,as,O
1929,",",O
1930,that,O
1931,a,O
1932,red,O
1933,-,O
1934,hot,O
1935,poker,O
1936,will,O
1937,burn,O
1938,you,O
1939,if,O
1940,you,O
1941,hold,O
1942,it,O
1943,too,O
1944,long,O
1945,;,O
1946,and,O
1947,that,O
1948,if,O
1949,you,O
1950,cut,O
1951,your,O
1952,finger,O
1953,very,O
1954,deeply,O
1955,with,O
1956,a,O
1957,knife,O
1958,",",O
1959,it,O
1960,usually,O
1961,bleed,O
1962,##s,O
1963,;,O
1964,and,O
1965,she,O
1966,had,O
1967,never,O
1968,forgotten,O
1969,that,O
1970,",",O
1971,if,O
1972,you,O
1973,drink,O
1974,much,O
1975,from,O
1976,a,O
1977,bottle,O
1978,marked,O
1979,‘,O
1980,poison,O
1981,",",O
1982,’,O
1983,it,O
1984,is,O
1985,almost,O
1986,certain,O
1987,to,O
1988,disagree,O
1989,with,O
1990,you,O
1991,",",O
1992,sooner,O
1993,or,O
1994,later,O
1995,.,O
1996,[SEP],O
1997,[CLS],O
1998,however,O
1999,",",O
2000,this,O
2001,bottle,O
2002,was,O
2003,not,O
2004,marked,O
2005,‘,O
2006,poison,O
2007,",",O
2008,’,O
2009,so,O
